Australia, Death rates (period 5x1)     Last modified: 17-Oct-2014, MPv5 (May07)

   Year      Age       Female       Male         Total
   1990        0     0.007142     0.008811     0.007998 
   1990      1-4     0.000338     0.000455     0.000398 
   1990      5-9     0.000140     0.000228     0.000185 
   1990     10-14    0.000153     0.000201     0.000178 
   1990     15-19    0.000396     0.000906     0.000657 
   1990     20-24    0.000443     0.001359     0.000907 
   1990     25-29    0.000463     0.001387     0.000928 
   1990     30-34    0.000566     0.001378     0.000973 
   1990     35-39    0.000740     0.001481     0.001110 
   1990     40-44    0.001111     0.002097     0.001612 
   1990     45-49    0.001837     0.003129     0.002500 
   1990     50-54    0.003236     0.005294     0.004289 
   1990     55-59    0.004899     0.009366     0.007159 
   1990     60-64    0.008025     0.015860     0.011923 
   1990     65-69    0.013392     0.025899     0.019323 
   1990     70-74    0.022587     0.040587     0.030615 
   1990     75-79    0.038916     0.067010     0.050499 
   1990     80-84    0.066621     0.105689     0.080819 
   1990     85-89    0.117997     0.169224     0.133545 
   1990     90-94    0.192988     0.252333     0.206427 
   1990     95-99    0.302757     0.375941     0.315778 
   1990    100-104   0.445780     0.427259     0.442801 
   1990    105-109   0.443172     0.652303     0.482766 
   1990    110+      2.147971            .     2.147971 
   1991        0     0.006059     0.007752     0.006928 
   1991      1-4     0.000306     0.000374     0.000341 
   1991      5-9     0.000139     0.000210     0.000175 
   1991     10-14    0.000155     0.000208     0.000183 
   1991     15-19    0.000330     0.000856     0.000600 
   1991     20-24    0.000436     0.001211     0.000829 
   1991     25-29    0.000518     0.001204     0.000862 
   1991     30-34    0.000516     0.001338     0.000928 
   1991     35-39    0.000772     0.001584     0.001178 
   1991     40-44    0.001130     0.001977     0.001559 
   1991     45-49    0.001849     0.003080     0.002479 
   1991     50-54    0.003077     0.005168     0.004148 
   1991     55-59    0.004831     0.008764     0.006819 
   1991     60-64    0.007939     0.015280     0.011595 
   1991     65-69    0.012962     0.024778     0.018595 
   1991     70-74    0.021660     0.039016     0.029431 
   1991     75-79    0.037915     0.065661     0.049387 
   1991     80-84    0.064567     0.106252     0.079756 
   1991     85-89    0.112396     0.155594     0.125619 
   1991     90-94    0.191534     0.244724     0.203865 
   1991     95-99    0.289596     0.374409     0.304166 
   1991    100-104   0.389799     0.548335     0.413475 
   1991    105-109   0.675179     0.761035     0.692674 
   1991    110+      4.147465            .     4.147465 
   1992        0     0.005900     0.007935     0.006944 
   1992      1-4     0.000349     0.000425     0.000388 
   1992      5-9     0.000165     0.000180     0.000172 
   1992     10-14    0.000137     0.000209     0.000174 
   1992     15-19    0.000339     0.000793     0.000572 
   1992     20-24    0.000443     0.001209     0.000831 
   1992     25-29    0.000413     0.001260     0.000838 
   1992     30-34    0.000542     0.001326     0.000935 
   1992     35-39    0.000722     0.001460     0.001090 
   1992     40-44    0.001108     0.001984     0.001550 
   1992     45-49    0.001815     0.002957     0.002398 
   1992     50-54    0.003093     0.005070     0.004106 
   1992     55-59    0.004909     0.008605     0.006777 
   1992     60-64    0.007772     0.015146     0.011446 
   1992     65-69    0.012579     0.024847     0.018460 
   1992     70-74    0.021614     0.039721     0.029763 
   1992     75-79    0.037971     0.065608     0.049426 
   1992     80-84    0.066433     0.104440     0.080316 
   1992     85-89    0.116468     0.164336     0.131299 
   1992     90-94    0.191929     0.256973     0.207287 
   1992     95-99    0.312318     0.358153     0.320273 
   1992    100-104   0.411831     0.434543     0.414957 
   1992    105-109   0.530869     0.923645     0.594020 
   1992    110+      0.000000            .     0.000000 
   1993        0     0.005319     0.006747     0.006052 
   1993      1-4     0.000314     0.000459     0.000388 
   1993      5-9     0.000132     0.000173     0.000153 
   1993     10-14    0.000163     0.000202     0.000183 
   1993     15-19    0.000331     0.000793     0.000568 
   1993     20-24    0.000381     0.001146     0.000769 
   1993     25-29    0.000371     0.001194     0.000784 
   1993     30-34    0.000534     0.001346     0.000940 
   1993     35-39    0.000804     0.001515     0.001159 
   1993     40-44    0.001068     0.001892     0.001482 
   1993     45-49    0.001723     0.002884     0.002315 
