Canada, Death rates (period 5x1)     Last modified: 11-Aug-2014, MPv5 (May07)

   Year      Age       Female       Male         Total
   1990        0     0.006185     0.007649     0.006935 
   1990      1-4     0.000320     0.000409     0.000365 
   1990      5-9     0.000175     0.000223     0.000200 
   1990     10-14    0.000182     0.000273     0.000229 
   1990     15-19    0.000330     0.000921     0.000633 
   1990     20-24    0.000366     0.001138     0.000759 
   1990     25-29    0.000406     0.001126     0.000770 
   1990     30-34    0.000590     0.001353     0.000973 
   1990     35-39    0.000809     0.001667     0.001238 
   1990     40-44    0.001211     0.002165     0.001690 
   1990     45-49    0.002029     0.003431     0.002737 
   1990     50-54    0.003347     0.005745     0.004553 
   1990     55-59    0.005305     0.009618     0.007455 
   1990     60-64    0.008203     0.016174     0.012055 
   1990     65-69    0.013088     0.025237     0.018639 
   1990     70-74    0.021034     0.039945     0.029278 
   1990     75-79    0.035242     0.063094     0.046670 
   1990     80-84    0.063035     0.103542     0.078010 
   1990     85-89    0.105099     0.153615     0.120802 
   1990     90-94    0.176792     0.232380     0.191366 
   1990     95-99    0.272808     0.347342     0.289753 
   1990    100-104   0.398077     0.483916     0.415591 
   1990    105-109   0.419725     0.646154     0.461106 
   1990    110+      0.529412     2.000000     0.837209 
   1991        0     0.005779     0.006909     0.006359 
   1991      1-4     0.000269     0.000374     0.000323 
   1991      5-9     0.000163     0.000197     0.000180 
   1991     10-14    0.000164     0.000259     0.000213 
   1991     15-19    0.000367     0.000921     0.000651 
   1991     20-24    0.000352     0.001181     0.000774 
   1991     25-29    0.000449     0.001182     0.000821 
   1991     30-34    0.000532     0.001297     0.000917 
   1991     35-39    0.000799     0.001575     0.001187 
   1991     40-44    0.001268     0.002117     0.001694 
   1991     45-49    0.001986     0.003420     0.002709 
   1991     50-54    0.003201     0.005492     0.004353 
   1991     55-59    0.005290     0.009361     0.007320 
   1991     60-64    0.008218     0.015649     0.011832 
   1991     65-69    0.013245     0.025234     0.018749 
   1991     70-74    0.020714     0.038769     0.028595 
   1991     75-79    0.035319     0.063086     0.046712 
   1991     80-84    0.060951     0.101806     0.076075 
   1991     85-89    0.104863     0.157584     0.121814 
   1991     90-94    0.179949     0.239450     0.195649 
   1991     95-99    0.277279     0.347941     0.292704 
   1991    100-104   0.393064     0.456955     0.405602 
   1991    105-109   0.449070     0.658537     0.479221 
   1991    110+      0.489796     0.000000     0.375000 
   1992        0     0.005332     0.006748     0.006058 
   1992      1-4     0.000277     0.000331     0.000305 
   1992      5-9     0.000182     0.000219     0.000201 
   1992     10-14    0.000151     0.000239     0.000196 
   1992     15-19    0.000344     0.000838     0.000598 
   1992     20-24    0.000389     0.001087     0.000744 
   1992     25-29    0.000414     0.001189     0.000806 
   1992     30-34    0.000491     0.001351     0.000924 
   1992     35-39    0.000812     0.001694     0.001253 
   1992     40-44    0.001153     0.002204     0.001679 
   1992     45-49    0.002083     0.003211     0.002650 
   1992     50-54    0.003275     0.005330     0.004306 
   1992     55-59    0.005151     0.009328     0.007232 
   1992     60-64    0.008226     0.015318     0.011691 
   1992     65-69    0.012488     0.023937     0.017775 
   1992     70-74    0.020051     0.038243     0.027995 
   1992     75-79    0.034672     0.061579     0.045697 
   1992     80-84    0.060076     0.099795     0.074796 
   1992     85-89    0.103706     0.157142     0.120760 
   1992     90-94    0.170981     0.233004     0.187435 
   1992     95-99    0.276019     0.350526     0.291730 
   1992    100-104   0.394536     0.439911     0.403206 
   1992    105-109   0.492112     0.658537     0.514850 
   1992    110+      0.300000     0.300000     0.300000 
   1993        0     0.005579     0.006830     0.006222 
   1993      1-4     0.000255     0.000370     0.000314 
   1993      5-9     0.000153     0.000170     0.000162 
   1993     10-14    0.000154     0.000218     0.000187 
   1993     15-19    0.000367     0.000845     0.000613 
   1993     20-24    0.000381     0.001040     0.000717 
   1993     25-29    0.000403     0.001161     0.000786 
   1993     30-34    0.000557     0.001407     0.000985 
   1993     35-39    0.000831     0.001803     0.001317 
   1993     40-44    0.001230     0.002288     0.001758 
   1993     45-49    0.001931     0.003355     0.002646 
   1993     50-54    0.003135     0.005313     0.004226 
   1993     55-59    0.005046     0.009044     0.007034 
   1993     60-64    0.008322     0.014743     0.011468 
   1993     65-69    0.012954     0.024440     0.018293 
   1993     70-74    0.020808     0.038778     0.028662 
   1993     75-79    0.035489     0.062134     0.046391 
   1993     80-84    0.061942     0.102079     0.076815 
   1993     85-89    0.106411     0.160708     0.123671 
   1993     90-94    0.177179     0.231226     0.191593 
   1993     95-99    0.280483     0.359770     0.296733 
   1993    100-104   0.405299     0.511090     0.424867 
   1993    105-109   0.618325     0.630000     0.620167 
   1993    110+      0.688525     1.800000     0.845070 
   1994        0     0.005552     0.006932     0.006261 
   1994      1-4     0.000285     0.000352     0.000319 
   1994      5-9     0.000138     0.000183     0.000161 
   1994     10-14    0.000168     0.000242     0.000206 
   1994     15-19    0.000312     0.000840     0.000584 
   1994     20-24    0.000347     0.001035     0.000697 
   1994     25-29    0.000384     0.001091     0.000741 
   1994     30-34    0.000504     0.001313     0.000912 
   1994     35-39    0.000792     0.001699     0.001246 
   1994     40-44    0.001198     0.002310     0.001752 
   1994     45-49    0.001974     0.003143     0.002559 
   1994     50-54    0.003190     0.005126     0.004158 
   1994     55-59    0.005230     0.008681     0.006943 
   1994     60-64    0.008075     0.014927     0.011439 
   1994     65-69    0.012839     0.023832     0.017985 
   1994     70-74    0.020737     0.037810     0.028212 
   1994     75-79    0.034634     0.060525     0.045219 
   1994     80-84    0.061287     0.101002     0.075992 
   1994     85-89    0.106093     0.155661     0.121828 
   1994     90-94    0.177213     0.237818     0.193362 
   1994     95-99    0.280581     0.360941     0.296984 
   1994    100-104   0.438767     0.520333     0.452817 
   1994    105-109   0.633403     0.809411     0.660826 
   1994    110+      1.384615     6.000000     1.500000 
   1995        0     0.005475     0.006653     0.006080 
   1995      1-4     0.000247     0.000296     0.000272 
   1995      5-9     0.000141     0.000177     0.000160 
   1995     10-14    0.000189     0.000216     0.000203 
   1995     15-19    0.000332     0.000800     0.000573 
   1995     20-24    0.000332     0.001064     0.000704 
   1995     25-29    0.000411     0.001109     0.000764 
   1995     30-34    0.000528     0.001376     0.000956 
   1995     35-39    0.000766     0.001728     0.001248 
   1995     40-44    0.001181     0.002238     0.001708 
   1995     45-49    0.001982     0.003221     0.002601 
   1995     50-54    0.003150     0.005202     0.004175 
   1995     55-59    0.005104     0.008378     0.006727 
   1995     60-64    0.007783     0.014170     0.010921 
   1995     65-69    0.012763     0.023484     0.017817 
   1995     70-74    0.020335     0.037310     0.027790 
   1995     75-79    0.033989     0.060373     0.044780 
   1995     80-84    0.061377     0.100151     0.075730 
   1995     85-89    0.106684     0.157482     0.122840 
   1995     90-94    0.178767     0.240025     0.194947 
   1995     95-99    0.278811     0.358756     0.295193 
   1995    100-104   0.409487     0.474289     0.420096 
   1995    105-109   0.561912     0.622776     0.571858 
   1995    110+      0.444444     0.000000     0.400000 
   1996        0     0.004918     0.006034     0.005491 
   1996      1-4     0.000265     0.000317     0.000291 
   1996      5-9     0.000141     0.000153     0.000147 
   1996     10-14    0.000136     0.000200     0.000169 
   1996     15-19    0.000327     0.000707     0.000523 
   1996     20-24    0.000323     0.001015     0.000675 
   1996     25-29    0.000370     0.001023     0.000699 
   1996     30-34    0.000536     0.001266     0.000905 
   1996     35-39    0.000779     0.001605     0.001193 
   1996     40-44    0.001294     0.002169     0.001730 
   1996     45-49    0.001918     0.003034     0.002476 
   1996     50-54    0.003031     0.004978     0.004002 
   1996     55-59    0.005014     0.008203     0.006594 
   1996     60-64    0.007748     0.013768     0.010704 
   1996     65-69    0.012494     0.022941     0.017452 
   1996     70-74    0.020190     0.037399     0.027783 
   1996     75-79    0.034102     0.058019     0.043900 
   1996     80-84    0.061001     0.098675     0.074948 
   1996     85-89    0.105257     0.155438     0.121262 
   1996     90-94    0.180597     0.244967     0.197438 
   1996     95-99    0.284654     0.352100     0.298373 
   1996    100-104   0.427733     0.466627     0.433915 
   1996    105-109   0.613998     0.505523     0.595876 
   1996    110+      0.469361     1.500000     0.566706 
   1997        0     0.004897     0.005838     0.005380 
   1997      1-4     0.000271     0.000309     0.000291 
   1997      5-9     0.000142     0.000170     0.000156 
   1997     10-14    0.000157     0.000234     0.000197 
   1997     15-19    0.000338     0.000788     0.000569 
   1997     20-24    0.000316     0.000955     0.000642 
   1997     25-29    0.000374     0.000894     0.000637 
   1997     30-34    0.000478     0.001135     0.000810 
   1997     35-39    0.000732     0.001421     0.001078 
   1997     40-44    0.001184     0.002023     0.001602 
   1997     45-49    0.001875     0.002920     0.002396 
   1997     50-54    0.002861     0.004789     0.003823 
   1997     55-59    0.004829     0.008086     0.006442 
   1997     60-64    0.007729     0.013402     0.010512 
   1997     65-69    0.012251     0.022268     0.017034 
   1997     70-74    0.019906     0.035805     0.026970 
   1997     75-79    0.033812     0.058161     0.043808 
   1997     80-84    0.061311     0.099003     0.075248 
   1997     85-89    0.106559     0.156354     0.122456 
   1997     90-94    0.185296     0.241160     0.199902 
   1997     95-99    0.289509     0.363657     0.304580 
   1997    100-104   0.423147     0.520136     0.438084 
   1997    105-109   0.544377     0.683631     0.566534 
   1997    110+      0.276817            .     0.276817 
   1998        0     0.004790     0.005649     0.005230 
   1998      1-4     0.000230     0.000277     0.000254 
   1998      5-9     0.000131     0.000146     0.000139 
   1998     10-14    0.000137     0.000201     0.000170 
   1998     15-19    0.000311     0.000692     0.000507 
   1998     20-24    0.000314     0.000980     0.000654 
   1998     25-29    0.000335     0.000939     0.000640 
   1998     30-34    0.000478     0.001092     0.000788 
   1998     35-39    0.000740     0.001395     0.001069 
   1998     40-44    0.001187     0.001946     0.001566 
   1998     45-49    0.001840     0.002847     0.002342 
   1998     50-54    0.002949     0.004520     0.003733 
   1998     55-59    0.004735     0.007754     0.006231 
   1998     60-64    0.007512     0.012737     0.010073 
   1998     65-69    0.012055     0.021940     0.016794 
   1998     70-74    0.019863     0.035491     0.026866 
   1998     75-79    0.033122     0.057523     0.043164 
   1998     80-84    0.059711     0.098773     0.074151 
   1998     85-89    0.106249     0.157412     0.122607 
   1998     90-94    0.184121     0.242918     0.199522 
   1998     95-99    0.289756     0.350931     0.302419 
   1998    100-104   0.451586     0.535300     0.463883 
   1998    105-109   0.618905     0.736196     0.634456 
   1998    110+      1.105991            .     1.105991 
   1999        0     0.004751     0.005663     0.005218 
   1999      1-4     0.000238     0.000281     0.000260 
   1999      5-9     0.000115     0.000161     0.000138 
   1999     10-14    0.000118     0.000204     0.000162 
   1999     15-19    0.000335     0.000681     0.000513 
   1999     20-24    0.000312     0.000934     0.000630 
   1999     25-29    0.000368     0.000900     0.000637 
   1999     30-34    0.000454     0.001062     0.000760 
   1999     35-39    0.000749     0.001339     0.001046 
   1999     40-44    0.001226     0.001954     0.001589 
   1999     45-49    0.001705     0.002932     0.002316 
   1999     50-54    0.002898     0.004447     0.003670 
   1999     55-59    0.004592     0.007589     0.006078 
   1999     60-64    0.007285     0.012545     0.009861 
   1999     65-69    0.011773     0.021042     0.016228 
   1999     70-74    0.018967     0.034405     0.025949 
   1999     75-79    0.032710     0.056427     0.042508 
   1999     80-84    0.058468     0.095730     0.072248 
   1999     85-89    0.105290     0.157979     0.122139 
   1999     90-94    0.181531     0.244692     0.198023 
   1999     95-99    0.296065     0.372033     0.311848 
   1999    100-104   0.452740     0.448133     0.452037 
   1999    105-109   0.700196     0.800997     0.710677 
   1999    110+      0.556586            .     0.556586 
   2000        0     0.004569     0.005706     0.005151 
   2000      1-4     0.000183     0.000228     0.000206 
   2000      5-9     0.000105     0.000144     0.000125 
   2000     10-14    0.000139     0.000180     0.000160 
   2000     15-19    0.000331     0.000661     0.000500 
   2000     20-24    0.000356     0.000904     0.000636 
   2000     25-29    0.000351     0.000817     0.000587 
   2000     30-34    0.000467     0.000980     0.000726 
   2000     35-39    0.000708     0.001290     0.001001 
   2000     40-44    0.001117     0.001869     0.001493 
   2000     45-49    0.001724     0.002787     0.002252 
   2000     50-54    0.002921     0.004407     0.003661 
   2000     55-59    0.004555     0.007447     0.005990 
   2000     60-64    0.007168     0.012362     0.009710 
   2000     65-69    0.011457     0.020152     0.015642 
   2000     70-74    0.018911     0.032843     0.025269 
   2000     75-79    0.031809     0.053678     0.040901 
   2000     80-84    0.056878     0.091294     0.069637 
   2000     85-89    0.103028     0.147352     0.117235 
   2000     90-94    0.177170     0.234269     0.192113 
   2000     95-99    0.288630     0.365752     0.304355 
   2000    100-104   0.426295     0.507409     0.439080 
   2000    105-109   0.614016     1.020000     0.654655 
   2000    110+      0.688525     0.000000     0.656250 
   2001        0     0.004574     0.005844     0.005225 
   2001      1-4     0.000214     0.000262     0.000238 
   2001      5-9     0.000115     0.000128     0.000122 
   2001     10-14    0.000121     0.000153     0.000137 
   2001     15-19    0.000297     0.000670     0.000489 
   2001     20-24    0.000315     0.000875     0.000601 
   2001     25-29    0.000344     0.000841     0.000596 
   2001     30-34    0.000464     0.000973     0.000721 
   2001     35-39    0.000751     0.001254     0.001005 
   2001     40-44    0.001112     0.001775     0.001444 
   2001     45-49    0.001775     0.002837     0.002303 
