France, Total Population, Death rates (period 5x1)     Last modified: 02-May-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
   1990        0     0.006321     0.008539     0.007457 
   1990      1-4     0.000313     0.000449     0.000383 
   1990      5-9     0.000162     0.000208     0.000185 
   1990     10-14    0.000163     0.000230     0.000197 
   1990     15-19    0.000349     0.000891     0.000626 
   1990     20-24    0.000437     0.001533     0.000990 
   1990     25-29    0.000544     0.001641     0.001092 
   1990     30-34    0.000699     0.001880     0.001287 
   1990     35-39    0.000992     0.002439     0.001717 
   1990     40-44    0.001422     0.003422     0.002435 
   1990     45-49    0.002093     0.005003     0.003567 
   1990     50-54    0.003160     0.007839     0.005488 
   1990     55-59    0.004601     0.012018     0.008204 
   1990     60-64    0.006560     0.017816     0.011852 
   1990     65-69    0.010034     0.025086     0.016772 
   1990     70-74    0.016808     0.037062     0.025423 
   1990     75-79    0.033191     0.062115     0.044367 
   1990     80-84    0.063732     0.104053     0.077307 
   1990     85-89    0.118993     0.170963     0.133561 
   1990     90-94    0.208189     0.266018     0.220795 
   1990     95-99    0.319956     0.395698     0.331424 
   1990    100-104   0.476237     0.549664     0.485592 
   1990    105-109   0.522822     0.442623     0.513812 
   1990    110+      0.300000     0.428571     0.319149 
   1991        0     0.006227     0.008449     0.007367 
   1991      1-4     0.000355     0.000425     0.000391 
   1991      5-9     0.000168     0.000219     0.000194 
   1991     10-14    0.000161     0.000249     0.000206 
   1991     15-19    0.000347     0.000860     0.000609 
   1991     20-24    0.000461     0.001533     0.001001 
   1991     25-29    0.000581     0.001708     0.001144 
   1991     30-34    0.000712     0.001976     0.001342 
   1991     35-39    0.000949     0.002487     0.001717 
   1991     40-44    0.001447     0.003536     0.002503 
   1991     45-49    0.002133     0.005042     0.003606 
   1991     50-54    0.003058     0.007530     0.005289 
   1991     55-59    0.004444     0.011595     0.007926 
   1991     60-64    0.006525     0.017664     0.011776 
   1991     65-69    0.010069     0.024962     0.016744 
   1991     70-74    0.016275     0.036264     0.024819 
   1991     75-79    0.032247     0.061205     0.043431 
   1991     80-84    0.061722     0.101063     0.075030 
   1991     85-89    0.116007     0.165779     0.130053 
   1991     90-94    0.199564     0.258747     0.212646 
   1991     95-99    0.314002     0.379684     0.323942 
   1991    100-104   0.431232     0.508834     0.440826 
   1991    105-109   0.576699     0.322148     0.544529 
   1991    110+      0.493151     0.750000     0.518519 
   1992        0     0.005729     0.007955     0.006870 
   1992      1-4     0.000281     0.000400     0.000342 
   1992      5-9     0.000165     0.000192     0.000179 
   1992     10-14    0.000151     0.000227     0.000190 
   1992     15-19    0.000332     0.000834     0.000588 
   1992     20-24    0.000438     0.001449     0.000947 
   1992     25-29    0.000575     0.001666     0.001120 
   1992     30-34    0.000751     0.002012     0.001380 
   1992     35-39    0.001037     0.002517     0.001775 
   1992     40-44    0.001389     0.003521     0.002463 
   1992     45-49    0.002108     0.005000     0.003570 
   1992     50-54    0.003020     0.007418     0.005220 
   1992     55-59    0.004347     0.011290     0.007735 
   1992     60-64    0.006342     0.017190     0.011465 
   1992     65-69    0.009815     0.024642     0.016478 
   1992     70-74    0.016020     0.036088     0.024601 
   1992     75-79    0.031668     0.060438     0.042785 
   1992     80-84    0.059295     0.098025     0.072474 
   1992     85-89    0.112361     0.160631     0.126073 
   1992     90-94    0.193895     0.254436     0.207403 
   1992     95-99    0.303647     0.373058     0.314519 
   1992    100-104   0.443275     0.589719     0.460162 
   1992    105-109   0.609375     0.503226     0.596787 
   1992    110+      0.190476     0.857143     0.257143 
   1993        0     0.005369     0.007463     0.006442 
   1993      1-4     0.000285     0.000386     0.000337 
   1993      5-9     0.000154     0.000195     0.000175 
   1993     10-14    0.000148     0.000227     0.000188 
   1993     15-19    0.000365     0.000808     0.000591 
   1993     20-24    0.000441     0.001439     0.000943 
   1993     25-29    0.000575     0.001632     0.001104 
   1993     30-34    0.000738     0.002022     0.001378 
   1993     35-39    0.000982     0.002564     0.001769 
   1993     40-44    0.001480     0.003529     0.002508 
   1993     45-49    0.002111     0.004976     0.003557 
   1993     50-54    0.002989     0.007215     0.005107 
   1993     55-59    0.004408     0.011158     0.007708 
   1993     60-64    0.006425     0.017035     0.011444 
   1993     65-69    0.009888     0.024395     0.016428 
   1993     70-74    0.015823     0.035932     0.024418 
   1993     75-79    0.031595     0.059606     0.042461 
   1993     80-84    0.059216     0.099173     0.072904 
   1993     85-89    0.114179     0.163724     0.128336 
   1993     90-94    0.196081     0.259883     0.210428 
   1993     95-99    0.307418     0.381070     0.319217 
   1993    100-104   0.455201     0.606403     0.471845 
   1993    105-109   0.640394     0.461538     0.621602 
   1993    110+      0.553846     0.000000     0.507042 
   1994        0     0.005122     0.006838     0.006000 
   1994      1-4     0.000252     0.000329     0.000292 
   1994      5-9     0.000144     0.000186     0.000166 
   1994     10-14    0.000157     0.000248     0.000204 
   1994     15-19    0.000296     0.000765     0.000536 
   1994     20-24    0.000424     0.001390     0.000910 
   1994     25-29    0.000537     0.001612     0.001074 
   1994     30-34    0.000735     0.001979     0.001355 
   1994     35-39    0.001021     0.002525     0.001768 
   1994     40-44    0.001417     0.003472     0.002445 
   1994     45-49    0.002094     0.005028     0.003573 
   1994     50-54    0.002992     0.007238     0.005123 
   1994     55-59    0.004213     0.010726     0.007403 
   1994     60-64    0.006163     0.016351     0.010991 
   1994     65-69    0.009669     0.023883     0.016102 
   1994     70-74    0.015950     0.035403     0.024254 
   1994     75-79    0.029013     0.055800     0.039509 
