Germany, Death rates (period 5x1)     Last modified: 20-Apr-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
   1990        0     0.006106     0.008091     0.007125 
   1990      1-4     0.000377     0.000469     0.000424 
   1990      5-9     0.000196     0.000244     0.000221 
   1990     10-14    0.000166     0.000245     0.000207 
   1990     15-19    0.000324     0.000819     0.000578 
   1990     20-24    0.000404     0.001096     0.000758 
   1990     25-29    0.000434     0.001133     0.000794 
   1990     30-34    0.000627     0.001469     0.001060 
   1990     35-39    0.001037     0.002031     0.001542 
   1990     40-44    0.001523     0.002836     0.002194 
   1990     45-49    0.002422     0.004765     0.003617 
   1990     50-54    0.003507     0.007568     0.005563 
   1990     55-59    0.005715     0.012585     0.009134 
   1990     60-64    0.009206     0.019613     0.014013 
   1990     65-69    0.015281     0.030943     0.021209 
   1990     70-74    0.025584     0.047937     0.033474 
   1990     75-79    0.048055     0.079927     0.058416 
   1990     80-84    0.087358     0.131273     0.100185 
   1990     85-89    0.154255     0.204724     0.167581 
   1990     90-94    0.253110     0.302528     0.263584 
   1990     95-99    0.366215     0.426822     0.377260 
   1990    100-104   0.539540     0.706903     0.570345 
   1990    105-109   0.692308     0.736842     0.700000 
   1990    110+      6.000000     6.000000     6.000000 
   1991        0     0.005734     0.007332     0.006554 
   1991      1-4     0.000353     0.000450     0.000403 
   1991      5-9     0.000171     0.000219     0.000195 
   1991     10-14    0.000152     0.000209     0.000181 
   1991     15-19    0.000345     0.000834     0.000596 
   1991     20-24    0.000368     0.001137     0.000762 
   1991     25-29    0.000434     0.001209     0.000835 
   1991     30-34    0.000659     0.001511     0.001098 
   1991     35-39    0.001001     0.002122     0.001572 
   1991     40-44    0.001520     0.003014     0.002281 
   1991     45-49    0.002434     0.004764     0.003622 
   1991     50-54    0.003567     0.007461     0.005538 
   1991     55-59    0.005476     0.012086     0.008770 
   1991     60-64    0.009069     0.019736     0.014111 
   1991     65-69    0.014902     0.029800     0.020660 
   1991     70-74    0.024738     0.046182     0.032311 
   1991     75-79    0.046869     0.078647     0.057140 
   1991     80-84    0.084891     0.127890     0.097305 
   1991     85-89    0.149444     0.201919     0.163167 
   1991     90-94    0.241955     0.296514     0.253637 
   1991     95-99    0.361739     0.408775     0.369943 
   1991    100-104   0.524903     0.689704     0.552773 
   1991    105-109   0.592593     0.530973     0.582353 
   1991    110+      0.000000            .     0.000000 
   1992        0     0.005348     0.006768     0.006076 
   1992      1-4     0.000306     0.000390     0.000349 
   1992      5-9     0.000156     0.000199     0.000178 
   1992     10-14    0.000144     0.000196     0.000171 
   1992     15-19    0.000318     0.000765     0.000547 
   1992     20-24    0.000374     0.001096     0.000745 
   1992     25-29    0.000436     0.001133     0.000797 
   1992     30-34    0.000603     0.001474     0.001052 
   1992     35-39    0.000962     0.002067     0.001527 
   1992     40-44    0.001513     0.002974     0.002257 
   1992     45-49    0.002383     0.004586     0.003505 
   1992     50-54    0.003375     0.007264     0.005344 
   1992     55-59    0.005324     0.011740     0.008524 
   1992     60-64    0.008688     0.019374     0.013811 
   1992     65-69    0.014182     0.028592     0.019918 
   1992     70-74    0.023778     0.045115     0.031309 
   1992     75-79    0.045389     0.076459     0.055381 
   1992     80-84    0.080582     0.121299     0.092280 
   1992     85-89    0.142347     0.190685     0.154811 
   1992     90-94    0.234437     0.288358     0.246053 
   1992     95-99    0.345310     0.393503     0.353538 
   1992    100-104   0.478395     0.560327     0.491399 
   1992    105-109   0.594958     1.117647     0.671449 
   1992    110+      1.384615            .     1.384615 
   1993        0     0.005044     0.006508     0.005795 
   1993      1-4     0.000297     0.000370     0.000334 
   1993      5-9     0.000142     0.000196     0.000169 
   1993     10-14    0.000149     0.000207     0.000179 
   1993     15-19    0.000327     0.000754     0.000546 
   1993     20-24    0.000336     0.001065     0.000711 
   1993     25-29    0.000412     0.001036     0.000736 
   1993     30-34    0.000619     0.001388     0.001016 
   1993     35-39    0.000932     0.002032     0.001497 
   1993     40-44    0.001567     0.002925     0.002258 
   1993     45-49    0.002363     0.004559     0.003480 
   1993     50-54    0.003466     0.007251     0.005382 
   1993     55-59    0.005183     0.011476     0.008323 
   1993     60-64    0.008644     0.019325     0.013797 
   1993     65-69    0.013933     0.028745     0.020062 
   1993     70-74    0.024428     0.046230     0.032110 
   1993     75-79    0.045541     0.076230     0.055383 
   1993     80-84    0.079774     0.121450     0.091712 
   1993     85-89    0.141927     0.194810     0.155366 
   1993     90-94    0.237862     0.296984     0.250613 
   1993     95-99    0.355931     0.409777     0.364981 
   1993    100-104   0.507638     0.615238     0.524551 
   1993    105-109   0.704132     0.923077     0.732759 
   1993    110+      2.000000            .     2.000000 
   1994        0     0.004864     0.006092     0.005495 
   1994      1-4     0.000311     0.000355     0.000333 
   1994      5-9     0.000133     0.000184     0.000159 
   1994     10-14    0.000136     0.000190     0.000164 
   1994     15-19    0.000319     0.000779     0.000555 
   1994     20-24    0.000339     0.001028     0.000693 
   1994     25-29    0.000371     0.001028     0.000711 
   1994     30-34    0.000588     0.001378     0.000996 
   1994     35-39    0.000893     0.002005     0.001465 
   1994     40-44    0.001478     0.002997     0.002248 
   1994     45-49    0.002278     0.004429     0.003371 
   1994     50-54    0.003457     0.007105     0.005302 
   1994     55-59    0.005022     0.011164     0.008086 
   1994     60-64    0.008366     0.018548     0.013295 
   1994     65-69    0.013580     0.028280     0.019911 
   1994     70-74    0.024260     0.045762     0.031832 
   1994     75-79    0.042686     0.070939     0.051776 
   1994     80-84    0.077323     0.117581     0.088816 
   1994     85-89    0.139395     0.189761     0.151980 
   1994     90-94    0.232468     0.287831     0.244386 
   1994     95-99    0.349604     0.401426     0.358294 
   1994    100-104   0.501621     0.615875     0.518201 
   1994    105-109   0.657391     0.545455     0.640950 
   1994    110+      1.333333            .     1.333333 
   1995        0     0.004629     0.005894     0.005278 
   1995      1-4     0.000262     0.000351     0.000308 
   1995      5-9     0.000146     0.000164     0.000155 
   1995     10-14    0.000129     0.000181     0.000156 
   1995     15-19    0.000331     0.000762     0.000552 
   1995     20-24    0.000355     0.001028     0.000699 
   1995     25-29    0.000379     0.000999     0.000699 
   1995     30-34    0.000561     0.001276     0.000931 
   1995     35-39    0.000889     0.001945     0.001432 
   1995     40-44    0.001482     0.002965     0.002234 
   1995     45-49    0.002200     0.004294     0.003263 
   1995     50-54    0.003433     0.006955     0.005212 
   1995     55-59    0.004907     0.010831     0.007862 
   1995     60-64    0.008093     0.017979     0.012894 
   1995     65-69    0.013386     0.028355     0.020045 
   1995     70-74    0.023382     0.044858     0.031024 
   1995     75-79    0.040742     0.069789     0.050141 
   1995     80-84    0.076600     0.118046     0.088374 
   1995     85-89    0.136998     0.186853     0.149269 
   1995     90-94    0.229643     0.292082     0.243055 
   1995     95-99    0.351429     0.412504     0.361704 
   1995    100-104   0.497334     0.600561     0.511414 
   1995    105-109   0.511502     0.513158     0.511785 
   1995    110+      0.300000            .     0.300000 
   1996        0     0.004446     0.005665     0.005072 
   1996      1-4     0.000251     0.000287     0.000270 
   1996      5-9     0.000113     0.000154     0.000134 
   1996     10-14    0.000121     0.000178     0.000150 
   1996     15-19    0.000311     0.000724     0.000523 
   1996     20-24    0.000348     0.001016     0.000689 
   1996     25-29    0.000377     0.000987     0.000691 
   1996     30-34    0.000527     0.001248     0.000900 
   1996     35-39    0.000889     0.001787     0.001350 
   1996     40-44    0.001440     0.002826     0.002144 
   1996     45-49    0.002266     0.004265     0.003279 
   1996     50-54    0.003395     0.006887     0.005157 
   1996     55-59    0.004763     0.010489     0.007620 
   1996     60-64    0.007826     0.017365     0.012469 
   1996     65-69    0.013256     0.027940     0.019941 
   1996     70-74    0.022829     0.043271     0.030277 
   1996     75-79    0.039368     0.067829     0.048585 
   1996     80-84    0.076803     0.117879     0.088402 
   1996     85-89    0.136404     0.186687     0.148652 
   1996     90-94    0.231163     0.288139     0.243250 
   1996     95-99    0.350056     0.410580     0.360246 
   1996    100-104   0.509565     0.581084     0.519040 
   1996    105-109   0.550000     0.395604     0.525394 
   1996    110+      1.578947            .     1.578947 
   1997        0     0.004324     0.005474     0.004915 
   1997      1-4     0.000253     0.000314     0.000284 
   1997      5-9     0.000106     0.000156     0.000132 
   1997     10-14    0.000114     0.000161     0.000138 
   1997     15-19    0.000290     0.000752     0.000526 
   1997     20-24    0.000309     0.000957     0.000639 
   1997     25-29    0.000347     0.000931     0.000648 
   1997     30-34    0.000499     0.001140     0.000830 
   1997     35-39    0.000837     0.001688     0.001274 
   1997     40-44    0.001407     0.002711     0.002070 
   1997     45-49    0.002175     0.004173     0.003185 
   1997     50-54    0.003319     0.006639     0.004992 
   1997     55-59    0.004673     0.010074     0.007369 
   1997     60-64    0.007467     0.016409     0.011827 
   1997     65-69    0.012600     0.027176     0.019334 
   1997     70-74    0.021822     0.041063     0.029067 
   1997     75-79    0.038068     0.066060     0.047121 
   1997     80-84    0.075456     0.114368     0.086397 
   1997     85-89    0.130102     0.179083     0.142009 
   1997     90-94    0.222090     0.280828     0.234341 
   1997     95-99    0.343955     0.417034     0.356250 
   1997    100-104   0.516753     0.575160     0.524337 
   1997    105-109   0.493384     0.328358     0.467037 
   1997    110+      3.000000            .     3.000000 
   1998        0     0.004061     0.005098     0.004593 
   1998      1-4     0.000249     0.000286     0.000268 
   1998      5-9     0.000097     0.000133     0.000115 
   1998     10-14    0.000116     0.000174     0.000146 
   1998     15-19    0.000296     0.000661     0.000482 
   1998     20-24    0.000307     0.000925     0.000621 
   1998     25-29    0.000345     0.000844     0.000601 
   1998     30-34    0.000449     0.001028     0.000747 
   1998     35-39    0.000779     0.001549     0.001174 
   1998     40-44    0.001327     0.002631     0.001991 
   1998     45-49    0.002140     0.004051     0.003103 
   1998     50-54    0.003162     0.006249     0.004716 
   1998     55-59    0.004608     0.009837     0.007218 
   1998     60-64    0.007189     0.015721     0.011354 
   1998     65-69    0.012279     0.026262     0.018787 
   1998     70-74    0.021188     0.039831     0.028506 
   1998     75-79    0.038078     0.065908     0.047061 
   1998     80-84    0.074113     0.112273     0.084841 
   1998     85-89    0.128747     0.177049     0.140481 
   1998     90-94    0.220040     0.281463     0.232626 
   1998     95-99    0.340930     0.404143     0.351485 
   1998    100-104   0.500330     0.586987     0.511432 
   1998    105-109   0.654350     0.826347     0.677347 
   1998    110+             .     1.500000     1.500000 
   1999        0     0.004008     0.004953     0.004493 
   1999      1-4     0.000219     0.000288     0.000255 
   1999      5-9     0.000112     0.000146     0.000129 
   1999     10-14    0.000113     0.000173     0.000144 
   1999     15-19    0.000301     0.000687     0.000499 
   1999     20-24    0.000309     0.000961     0.000640 
   1999     25-29    0.000339     0.000869     0.000610 
   1999     30-34    0.000449     0.000968     0.000716 
   1999     35-39    0.000759     0.001516     0.001147 
   1999     40-44    0.001315     0.002526     0.001932 
   1999     45-49    0.002072     0.004002     0.003042 
   1999     50-54    0.003143     0.006091     0.004626 
   1999     55-59    0.004578     0.009524     0.007046 
   1999     60-64    0.006945     0.015100     0.010929 
   1999     65-69    0.011843     0.025258     0.018117 
   1999     70-74    0.020460     0.039043     0.028069 
   1999     75-79    0.038115     0.065565     0.046981 
   1999     80-84    0.070297     0.106714     0.080621 
   1999     85-89    0.126700     0.172796     0.137879 
   1999     90-94    0.218176     0.278095     0.230270 
   1999     95-99    0.344709     0.417818     0.356794 
   1999    100-104   0.471444     0.585445     0.485593 
   1999    105-109   0.839309     0.646154     0.816379 
   1999    110+      0.000000     2.400000     0.857143 
   2000        0     0.003862     0.004856     0.004373 
   2000      1-4     0.000213     0.000268     0.000241 
   2000      5-9     0.000097     0.000132     0.000115 
   2000     10-14    0.000112     0.000149     0.000131 
   2000     15-19    0.000281     0.000631     0.000460 
   2000     20-24    0.000320     0.000931     0.000630 
   2000     25-29    0.000324     0.000851     0.000593 
   2000     30-34    0.000449     0.000978     0.000720 
   2000     35-39    0.000739     0.001440     0.001098 
   2000     40-44    0.001273     0.002500     0.001898 
   2000     45-49    0.002050     0.004004     0.003032 
   2000     50-54    0.003098     0.005974     0.004544 
   2000     55-59    0.004567     0.009511     0.007032 
   2000     60-64    0.006770     0.014627     0.010612 
   2000     65-69    0.011360     0.024248     0.017419 
   2000     70-74    0.019822     0.038304     0.027651 
   2000     75-79    0.036402     0.062228     0.044860 
   2000     80-84    0.065851     0.100803     0.075885 
   2000     85-89    0.125774     0.172438     0.137059 
   2000     90-94    0.213171     0.272158     0.224927 
   2000     95-99    0.334181     0.408190     0.346325 
   2000    100-104   0.476870     0.600783     0.491559 
   2000    105-109   0.593777     0.645570     0.600904 
   2000    110+      0.600000            .     0.600000 
   2001        0     0.003689     0.004706     0.004211 
   2001      1-4     0.000225     0.000280     0.000253 
   2001      5-9     0.000098     0.000122     0.000111 
   2001     10-14    0.000116     0.000161     0.000139 
   2001     15-19    0.000271     0.000593     0.000436 
   2001     20-24    0.000288     0.000866     0.000580 
   2001     25-29    0.000304     0.000766     0.000539 
   2001     30-34    0.000385     0.000917     0.000657 
   2001     35-39    0.000738     0.001391     0.001073 
   2001     40-44    0.001213     0.002341     0.001788 
   2001     45-49    0.002024     0.003927     0.002981 
   2001     50-54    0.003102     0.005883     0.004498 
   2001     55-59    0.004510     0.009360     0.006926 
   2001     60-64    0.006533     0.014130     0.010252 
   2001     65-69    0.010904     0.022749     0.016495 
   2001     70-74    0.019145     0.037236     0.027000 
   2001     75-79    0.035107     0.059436     0.043314 
   2001     80-84    0.062877     0.095813     0.072409 
   2001     85-89    0.123950     0.168855     0.134775 
   2001     90-94    0.211510     0.263235     0.221761 
   2001     95-99    0.331141     0.409296     0.343818 
   2001    100-104   0.479591     0.617429     0.495211 
   2001    105-109   0.706768     0.766026     0.713447 
   2001    110+      0.272727     0.000000     0.214286 
   2002        0     0.003862     0.004468     0.004173 
   2002      1-4     0.000235     0.000226     0.000230 
   2002      5-9     0.000093     0.000114     0.000104 
   2002     10-14    0.000103     0.000146     0.000125 
   2002     15-19    0.000250     0.000603     0.000431 
   2002     20-24    0.000290     0.000829     0.000562 
   2002     25-29    0.000294     0.000740     0.000520 
   2002     30-34    0.000405     0.000881     0.000648 
   2002     35-39    0.000670     0.001337     0.001011 
   2002     40-44    0.001208     0.002295     0.001761 
   2002     45-49    0.002040     0.003920     0.002987 
   2002     50-54    0.003077     0.005951     0.004515 
   2002     55-59    0.004526     0.009216     0.006861 
   2002     60-64    0.006486     0.013898     0.010117 
   2002     65-69    0.010676     0.022216     0.016140 
   2002     70-74    0.019112     0.037102     0.027047 
   2002     75-79    0.034682     0.057711     0.042765 
   2002     80-84    0.063897     0.096203     0.073304 
   2002     85-89    0.127857     0.172354     0.138575 
   2002     90-94    0.214819     0.267371     0.225286 
   2002     95-99    0.343470     0.402885     0.352985 
   2002    100-104   0.502508     0.574675     0.510670 
   2002    105-109   0.578162     0.582888     0.578628 
   2002    110+      0.782609     0.000000     0.514286 
   2003        0     0.003719     0.004648     0.004196 
   2003      1-4     0.000202     0.000242     0.000223 
   2003      5-9     0.000104     0.000135     0.000120 
   2003     10-14    0.000103     0.000152     0.000128 
   2003     15-19    0.000236     0.000546     0.000395 
   2003     20-24    0.000271     0.000783     0.000530 
   2003     25-29    0.000289     0.000783     0.000538 
   2003     30-34    0.000401     0.000883     0.000646 
   2003     35-39    0.000664     0.001305     0.000992 
   2003     40-44    0.001160     0.002226     0.001702 
   2003     45-49    0.001956     0.003872     0.002923 
   2003     50-54    0.003053     0.005943     0.004495 
   2003     55-59    0.004492     0.009059     0.006764 
   2003     60-64    0.006425     0.013769     0.010026 
   2003     65-69    0.010345     0.021955     0.015855 
   2003     70-74    0.019011     0.036814     0.026930 
   2003     75-79    0.034398     0.057529     0.042902 
   2003     80-84    0.065778     0.097874     0.075156 
   2003     85-89    0.130508     0.173422     0.140885 
   2003     90-94    0.218172     0.271941     0.228920 
   2003     95-99    0.348928     0.404687     0.357815 
   2003    100-104   0.504817     0.592860     0.515063 
   2003    105-109   0.675257     0.900563     0.693822 
   2003    110+      1.500625     0.000000     1.000278 
   2004        0     0.003751     0.004501     0.004136 
   2004      1-4     0.000200     0.000215     0.000208 
   2004      5-9     0.000086     0.000106     0.000096 
   2004     10-14    0.000085     0.000123     0.000105 
   2004     15-19    0.000231     0.000498     0.000367 
   2004     20-24    0.000273     0.000713     0.000495 
   2004     25-29    0.000275     0.000704     0.000492 
   2004     30-34    0.000369     0.000838     0.000606 
   2004     35-39    0.000604     0.001238     0.000928 
   2004     40-44    0.001048     0.002150     0.001609 
   2004     45-49    0.001943     0.003625     0.002794 
   2004     50-54    0.002899     0.005780     0.004333 
   2004     55-59    0.004396     0.008547     0.006460 
   2004     60-64    0.006277     0.013337     0.009739 
   2004     65-69    0.009856     0.020633     0.014979 
   2004     70-74    0.017628     0.034217     0.025059 
   2004     75-79    0.032371     0.054772     0.040980 
   2004     80-84    0.063414     0.094161     0.072443 
   2004     85-89    0.116253     0.153489     0.125411 
   2004     90-94    0.204440     0.253653     0.214304 
   2004     95-99    0.324011     0.382776     0.333330 
   2004    100-104   0.470537     0.514653     0.475797 
   2004    105-109   0.683516     0.621712     0.679039 
   2004    110+      1.379310     4.000000     2.204724 
   2005        0     0.003411     0.004323     0.003878 
   2005      1-4     0.000186     0.000226     0.000207 
   2005      5-9     0.000101     0.000115     0.000108 
   2005     10-14    0.000113     0.000129     0.000121 
   2005     15-19    0.000198     0.000444     0.000324 
   2005     20-24    0.000237     0.000662     0.000451 
   2005     25-29    0.000251     0.000692     0.000473 
   2005     30-34    0.000377     0.000813     0.000597 
   2005     35-39    0.000598     0.001146     0.000877 
   2005     40-44    0.001078     0.002012     0.001554 
   2005     45-49    0.001872     0.003538     0.002715 
   2005     50-54    0.002893     0.005765     0.004322 
   2005     55-59    0.004328     0.008522     0.006412 
   2005     60-64    0.006443     0.013138     0.009725 
   2005     65-69    0.009566     0.019976     0.014524 
   2005     70-74    0.017049     0.032867     0.024189 
   2005     75-79    0.031793     0.054483     0.040829 
   2005     80-84    0.062587     0.092340     0.071493 
   2005     85-89    0.114338     0.152305     0.123869 
   2005     90-94    0.211871     0.258755     0.221291 
   2005     95-99    0.332642     0.398970     0.343073 
   2005    100-104   0.470945     0.548862     0.480413 
   2005    105-109   0.623670     0.457478     0.609116 
   2005    110+      1.445004            .     1.445004 
   2006        0     0.003479     0.004099     0.003798 
   2006      1-4     0.000163     0.000206     0.000185 
   2006      5-9     0.000072     0.000108     0.000091 
   2006     10-14    0.000097     0.000116     0.000107 
   2006     15-19    0.000198     0.000436     0.000320 
   2006     20-24    0.000232     0.000618     0.000427 
   2006     25-29    0.000251     0.000631     0.000442 
   2006     30-34    0.000357     0.000755     0.000558 
   2006     35-39    0.000585     0.001123     0.000858 
   2006     40-44    0.001016     0.001938     0.001485 
   2006     45-49    0.001815     0.003372     0.002603 
   2006     50-54    0.002835     0.005618     0.004222 
   2006     55-59    0.004225     0.008431     0.006312 
   2006     60-64    0.006319     0.012794     0.009492 
   2006     65-69    0.009137     0.019178     0.013928 
   2006     70-74    0.016357     0.031397     0.023187 
   2006     75-79    0.031028     0.052653     0.039865 
   2006     80-84    0.060832     0.088452     0.069388 
   2006     85-89    0.109969     0.145226     0.118938 
   2006     90-94    0.207464     0.255534     0.217151 
   2006     95-99    0.321323     0.382982     0.330985 
   2006    100-104   0.467747     0.522454     0.474345 
   2006    105-109   0.623211     0.570071     0.618611 
   2006    110+      0.785997            .     0.785997 
   2007        0     0.003448     0.004353     0.003913 
   2007      1-4     0.000182     0.000210     0.000196 
   2007      5-9     0.000070     0.000112     0.000091 
   2007     10-14    0.000086     0.000109     0.000098 
   2007     15-19    0.000190     0.000422     0.000308 
   2007     20-24    0.000226     0.000629     0.000430 
   2007     25-29    0.000260     0.000651     0.000456 
   2007     30-34    0.000358     0.000756     0.000558 
   2007     35-39    0.000572     0.001064     0.000821 
   2007     40-44    0.000955     0.001818     0.001394 
   2007     45-49    0.001734     0.003312     0.002533 
   2007     50-54    0.002817     0.005463     0.004139 
   2007     55-59    0.004242     0.008257     0.006230 
   2007     60-64    0.006269     0.012760     0.009450 
   2007     65-69    0.009200     0.018965     0.013866 
   2007     70-74    0.015660     0.030259     0.022320 
   2007     75-79    0.030282     0.052319     0.039445 
   2007     80-84    0.059145     0.086275     0.067910 
   2007     85-89    0.109510     0.146185     0.118937 
   2007     90-94    0.210093     0.258326     0.219857 
   2007     95-99    0.323956     0.385269     0.333649 
   2007    100-104   0.467200     0.537958     0.475652 
   2007    105-109   0.691061     0.641831     0.686578 
   2007    110+      1.305755            .     1.305755 
   2008        0     0.003103     0.003937     0.003530 
   2008      1-4     0.000187     0.000200     0.000194 
   2008      5-9     0.000076     0.000097     0.000087 
   2008     10-14    0.000094     0.000113     0.000103 
   2008     15-19    0.000178     0.000411     0.000298 
   2008     20-24    0.000222     0.000584     0.000406 
   2008     25-29    0.000267     0.000632     0.000450 
   2008     30-34    0.000328     0.000774     0.000552 
   2008     35-39    0.000564     0.001050     0.000810 
   2008     40-44    0.000951     0.001754     0.001359 
   2008     45-49    0.001748     0.003167     0.002466 
   2008     50-54    0.002790     0.005374     0.004083 
   2008     55-59    0.004202     0.008252     0.006201 
   2008     60-64    0.006460     0.012657     0.009496 
   2008     65-69    0.009323     0.018669     0.013794 
   2008     70-74    0.015572     0.029503     0.021951 
   2008     75-79    0.030246     0.051846     0.039321 
   2008     80-84    0.059128     0.085670     0.068128 
   2008     85-89    0.114351     0.148845     0.123281 
   2008     90-94    0.215813     0.259611     0.224775 
   2008     95-99    0.331397     0.391560     0.341022 
   2008    100-104   0.498219     0.572414     0.506988 
   2008    105-109   0.645888     0.825153     0.661493 
   2008    110+      1.967867            .     1.967867 
   2009        0     0.003034     0.003880     0.003468 
   2009      1-4     0.000162     0.000222     0.000193 
   2009      5-9     0.000082     0.000091     0.000087 
   2009     10-14    0.000097     0.000108     0.000102 
   2009     15-19    0.000193     0.000383     0.000290 
   2009     20-24    0.000235     0.000552     0.000396 
   2009     25-29    0.000261     0.000641     0.000452 
   2009     30-34    0.000361     0.000763     0.000563 
   2009     35-39    0.000549     0.001048     0.000800 
   2009     40-44    0.000944     0.001702     0.001328 
   2009     45-49    0.001694     0.003083     0.002396 
