Sweden, Death rates (period 5x1)     Last modified: 02-Sep-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
   1990        0     0.005442     0.006837     0.006158 
   1990      1-4     0.000218     0.000333     0.000277 
   1990      5-9     0.000131     0.000185     0.000159 
   1990     10-14    0.000165     0.000165     0.000165 
   1990     15-19    0.000268     0.000626     0.000451 
   1990     20-24    0.000325     0.000858     0.000598 
   1990     25-29    0.000433     0.000956     0.000702 
   1990     30-34    0.000537     0.001081     0.000816 
   1990     35-39    0.000775     0.001374     0.001081 
   1990     40-44    0.001247     0.002100     0.001681 
   1990     45-49    0.002037     0.003205     0.002636 
   1990     50-54    0.002879     0.005004     0.003952 
   1990     55-59    0.005083     0.009037     0.007032 
   1990     60-64    0.007326     0.014393     0.010730 
   1990     65-69    0.012070     0.023189     0.017300 
   1990     70-74    0.020805     0.040065     0.029505 
   1990     75-79    0.038330     0.068126     0.050872 
   1990     80-84    0.071438     0.110129     0.086010 
   1990     85-89    0.128575     0.180240     0.145140 
   1990     90-94    0.220914     0.265287     0.233063 
   1990     95-99    0.347505     0.402896     0.360324 
   1990    100-104   0.509330     0.500000     0.507542 
   1990    105-109   0.777778     0.400000     0.695652 
   1990    110+             .            .            . 
   1991        0     0.005646     0.006625     0.006149 
   1991      1-4     0.000263     0.000250     0.000256 
   1991      5-9     0.000096     0.000130     0.000114 
   1991     10-14    0.000170     0.000127     0.000148 
   1991     15-19    0.000243     0.000639     0.000445 
   1991     20-24    0.000258     0.000787     0.000528 
   1991     25-29    0.000416     0.000951     0.000691 
   1991     30-34    0.000523     0.001141     0.000840 
   1991     35-39    0.000812     0.001424     0.001125 
   1991     40-44    0.001290     0.002131     0.001718 
   1991     45-49    0.001953     0.003279     0.002632 
   1991     50-54    0.002975     0.004901     0.003950 
   1991     55-59    0.004881     0.009159     0.006997 
   1991     60-64    0.007648     0.014366     0.010883 
   1991     65-69    0.012111     0.023670     0.017548 
   1991     70-74    0.020059     0.038371     0.028338 
   1991     75-79    0.037352     0.066290     0.049523 
   1991     80-84    0.069738     0.109203     0.084672 
   1991     85-89    0.123054     0.174538     0.139533 
   1991     90-94    0.220519     0.280977     0.236931 
   1991     95-99    0.340346     0.417730     0.358085 
   1991    100-104   0.527847     0.641509     0.548770 
   1991    105-109   0.620690     0.800000     0.657534 
   1991    110+             .            .            . 
   1992        0     0.004669     0.005973     0.005339 
   1992      1-4     0.000183     0.000289     0.000237 
   1992      5-9     0.000126     0.000139     0.000133 
   1992     10-14    0.000137     0.000155     0.000146 
   1992     15-19    0.000230     0.000453     0.000344 
   1992     20-24    0.000303     0.000745     0.000528 
   1992     25-29    0.000315     0.000845     0.000588 
   1992     30-34    0.000498     0.001024     0.000768 
   1992     35-39    0.000687     0.001409     0.001055 
   1992     40-44    0.001174     0.001965     0.001576 
   1992     45-49    0.002008     0.003066     0.002549 
   1992     50-54    0.003047     0.004822     0.003948 
   1992     55-59    0.004611     0.008278     0.006430 
   1992     60-64    0.007590     0.014231     0.010789 
   1992     65-69    0.012260     0.023123     0.017372 
   1992     70-74    0.020259     0.038140     0.028341 
   1992     75-79    0.036648     0.063804     0.048086 
   1992     80-84    0.068209     0.107350     0.083050 
   1992     85-89    0.121739     0.173095     0.138216 
   1992     90-94    0.216900     0.276267     0.232835 
   1992     95-99    0.344120     0.416640     0.360659 
   1992    100-104   0.490176     0.570093     0.504657 
   1992    105-109   0.464516     0.363636     0.446809 
   1992    110+      0.000000            .     0.000000 
   1993        0     0.004102     0.005379     0.004757 
   1993      1-4     0.000216     0.000268     0.000243 
   1993      5-9     0.000130     0.000191     0.000161 
   1993     10-14    0.000137     0.000174     0.000156 
   1993     15-19    0.000268     0.000479     0.000376 
