cause,ageGroup,rate,deaths,population,causeICD113,rank
heart disease,< 1 year,7.3,292,3978038,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,1-4 years,0.9,147,15929243,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,5-14 years,0.5,210,41109506,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,15-24 years,2.3,997,43848216,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,25-34 years,8,3522,44137202,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,35-44 years,25.6,10387,40589783,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,45-54 years,79.3,34248,43188161,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,55-64 years,188.1,76872,40877819,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,65-74 years,389.5,107303,27550517,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,75-84 years,1071.6,149199,13923174,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
heart disease,85+ years,3986.5,250636,6287161,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1
cancer,< 1 year,1.3,53,3978038,#Malignant neoplasms (C00-C97),2
cancer,1-4 years,2.2,354,15929243,#Malignant neoplasms (C00-C97),2
cancer,5-14 years,2.1,865,41109506,#Malignant neoplasms (C00-C97),2
cancer,15-24 years,3.4,1469,43848216,#Malignant neoplasms (C00-C97),2
cancer,25-34 years,8.4,3704,44137202,#Malignant neoplasms (C00-C97),2
cancer,35-44 years,26.9,10909,40589783,#Malignant neoplasms (C00-C97),2
cancer,45-54 years,99.7,43054,43188161,#Malignant neoplasms (C00-C97),2
cancer,55-64 years,284.1,116122,40877819,#Malignant neoplasms (C00-C97),2
cancer,65-74 years,594.3,163728,27550517,#Malignant neoplasms (C00-C97),2
cancer,75-84 years,1100.8,153268,13923174,#Malignant neoplasms (C00-C97),2
cancer,85+ years,1628.6,102393,6287161,#Malignant neoplasms (C00-C97),2
chronic lower respiratory diseases,< 1 year,0.7,26,3978038,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,1-4 years,0.3,40,15929243,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,5-14 years,0.4,173,41109506,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,15-24 years,0.5,202,43848216,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,25-34 years,0.7,288,44137202,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,35-44 years,1.7,702,40589783,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,45-54 years,10.1,4345,43188161,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,55-64 years,42.7,17457,40877819,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,65-74 years,136.6,37642,27550517,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,75-84 years,357.9,49832,13923174,#Chronic lower respiratory diseases (J40-J47),3
chronic lower respiratory diseases,85+ years,705.1,44330,6287161,#Chronic lower respiratory diseases (J40-J47),3
accidents,< 1 year,32.5,1291,3978038,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,1-4 years,7.8,1235,15929243,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,5-14 years,3.7,1518,41109506,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,15-24 years,28.5,12514,43848216,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,25-34 years,44.8,19795,44137202,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,35-44 years,43.9,17818,40589783,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,45-54 years,49.8,21499,43188161,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,55-64 years,47.7,19488,40877819,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,65-74 years,47,12961,27550517,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,75-84 years,111.5,15518,13923174,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
accidents,85+ years,364.5,22916,6287161,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4
stroke,< 1 year,2.2,89,3978038,#Cerebrovascular diseases (I60-I69),5
stroke,1-4 years,0.3,42,15929243,#Cerebrovascular diseases (I60-I69),5
stroke,5-14 years,0.2,84,41109506,#Cerebrovascular diseases (I60-I69),5
stroke,15-24 years,0.4,166,43848216,#Cerebrovascular diseases (I60-I69),5
stroke,25-34 years,1.3,567,44137202,#Cerebrovascular diseases (I60-I69),5
stroke,35-44 years,4.4,1788,40589783,#Cerebrovascular diseases (I60-I69),5
stroke,45-54 years,12.3,5307,43188161,#Cerebrovascular diseases (I60-I69),5
