United Kingdom, Death rates (period 5x1)     Last modified: 29-Jan-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
   1990        0     0.006989     0.009105     0.008070 
   1990      1-4     0.000328     0.000432     0.000381 
   1990      5-9     0.000140     0.000202     0.000172 
   1990     10-14    0.000163     0.000231     0.000198 
   1990     15-19    0.000281     0.000747     0.000519 
   1990     20-24    0.000312     0.000963     0.000640 
   1990     25-29    0.000388     0.000974     0.000681 
   1990     30-34    0.000521     0.001027     0.000773 
   1990     35-39    0.000879     0.001429     0.001154 
   1990     40-44    0.001361     0.002093     0.001727 
   1990     45-49    0.002284     0.003559     0.002922 
   1990     50-54    0.003781     0.006151     0.004963 
   1990     55-59    0.006456     0.010728     0.008567 
   1990     60-64    0.011098     0.018900     0.014849 
   1990     65-69    0.017713     0.031959     0.024265 
   1990     70-74    0.027712     0.049497     0.037045 
   1990     75-79    0.045842     0.078972     0.058713 
   1990     80-84    0.077149     0.122680     0.092165 
   1990     85-89    0.128467     0.184417     0.143060 
   1990     90-94    0.208490     0.269820     0.220140 
   1990     95-99    0.322159     0.401987     0.333756 
   1990    100-104   0.457079     0.536509     0.466181 
   1990    105-109   0.599317     0.810682     0.620304 
   1990    110+      2.631579            .     2.631579 
   1991        0     0.006373     0.008420     0.007419 
   1991      1-4     0.000340     0.000404     0.000373 
   1991      5-9     0.000157     0.000211     0.000184 
   1991     10-14    0.000155     0.000226     0.000192 
   1991     15-19    0.000296     0.000745     0.000526 
   1991     20-24    0.000335     0.000915     0.000627 
   1991     25-29    0.000375     0.000905     0.000639 
   1991     30-34    0.000534     0.001030     0.000781 
   1991     35-39    0.000833     0.001443     0.001137 
   1991     40-44    0.001326     0.002148     0.001736 
   1991     45-49    0.002251     0.003464     0.002857 
   1991     50-54    0.003691     0.006082     0.004883 
   1991     55-59    0.006128     0.010352     0.008219 
   1991     60-64    0.010620     0.018176     0.014257 
   1991     65-69    0.017545     0.031103     0.023814 
   1991     70-74    0.027649     0.048720     0.036730 
   1991     75-79    0.046110     0.077939     0.058519 
   1991     80-84    0.077470     0.122375     0.092419 
   1991     85-89    0.129917     0.185781     0.144658 
   1991     90-94    0.213374     0.272679     0.224862 
   1991     95-99    0.322206     0.401027     0.333447 
   1991    100-104   0.460150     0.534532     0.468417 
   1991    105-109   0.642713     0.406443     0.619237 
   1991    110+      0.000000            .     0.000000 
   1992        0     0.005744     0.007402     0.006592 
   1992      1-4     0.000300     0.000353     0.000327 
   1992      5-9     0.000138     0.000183     0.000161 
   1992     10-14    0.000131     0.000207     0.000170 
   1992     15-19    0.000282     0.000632     0.000460 
   1992     20-24    0.000327     0.000882     0.000607 
   1992     25-29    0.000371     0.000916     0.000643 
   1992     30-34    0.000518     0.001044     0.000780 
   1992     35-39    0.000840     0.001443     0.001140 
   1992     40-44    0.001331     0.002073     0.001700 
   1992     45-49    0.002171     0.003323     0.002747 
   1992     50-54    0.003610     0.005822     0.004712 
   1992     55-59    0.005931     0.009994     0.007944 
   1992     60-64    0.010271     0.017725     0.013867 
   1992     65-69    0.017114     0.030140     0.023163 
   1992     70-74    0.027111     0.047366     0.035882 
   1992     75-79    0.045302     0.076182     0.057373 
   1992     80-84    0.075205     0.118445     0.089740 
   1992     85-89    0.125752     0.179332     0.140073 
   1992     90-94    0.201617     0.265278     0.214184 
   1992     95-99    0.312837     0.381139     0.322458 
   1992    100-104   0.436525     0.528187     0.446356 
   1992    105-109   0.560668     0.661704     0.571002 
   1992    110+      0.422535            .     0.422535 
   1993        0     0.005594     0.007012     0.006321 
   1993      1-4     0.000287     0.000367     0.000328 
   1993      5-9     0.000130     0.000169     0.000150 
   1993     10-14    0.000160     0.000217     0.000190 
   1993     15-19    0.000276     0.000613     0.000448 
   1993     20-24    0.000315     0.000896     0.000608 
   1993     25-29    0.000389     0.000910     0.000649 
   1993     30-34    0.000546     0.001063     0.000803 
   1993     35-39    0.000796     0.001403     0.001098 
   1993     40-44    0.001369     0.002066     0.001716 
   1993     45-49    0.002136     0.003261     0.002697 
   1993     50-54    0.003638     0.005877     0.004753 
   1993     55-59    0.005913     0.009971     0.007924 
   1993     60-64    0.010269     0.017536     0.013784 
   1993     65-69    0.017160     0.030297     0.023281 
   1993     70-74    0.027923     0.048430     0.036837 
   1993     75-79    0.046528     0.077816     0.058787 
   1993     80-84    0.077878     0.121813     0.092779 
   1993     85-89    0.132585     0.189051     0.147870 
   1993     90-94    0.217539     0.285789     0.231225 
   1993     95-99    0.337677     0.413322     0.348235 
   1993    100-104   0.479199     0.574568     0.489082 
   1993    105-109   0.674402     0.930782     0.697731 
   1993    110+      0.515685            .     0.515685 
   1994        0     0.005440     0.006914     0.006196 
   1994      1-4     0.000271     0.000314     0.000293 
   1994      5-9     0.000110     0.000164     0.000138 
   1994     10-14    0.000130     0.000215     0.000174 
   1994     15-19    0.000243     0.000602     0.000425 
   1994     20-24    0.000310     0.000890     0.000602 
   1994     25-29    0.000372     0.000952     0.000661 
   1994     30-34    0.000525     0.001141     0.000831 
   1994     35-39    0.000830     0.001370     0.001099 
   1994     40-44    0.001378     0.002099     0.001737 
   1994     45-49    0.002156     0.003084     0.002618 
   1994     50-54    0.003526     0.005462     0.004490 
   1994     55-59    0.005548     0.009423     0.007468 
   1994     60-64    0.009671     0.016458     0.012965 
   1994     65-69    0.016408     0.028414     0.022017 
   1994     70-74    0.027268     0.046785     0.035785 
   1994     75-79    0.042988     0.071810     0.054348 
   1994     80-84    0.073544     0.115317     0.087819 
   1994     85-89    0.123378     0.174803     0.137476 
   1994     90-94    0.201192     0.263396     0.213877 
   1994     95-99    0.312748     0.385925     0.322967 
   1994    100-104   0.447394     0.528347     0.455573 
   1994    105-109   0.564228     0.620567     0.569082 
   1994    110+      0.520382            .     0.520382 
   1995        0     0.005396     0.006883     0.006159 
   1995      1-4     0.000247     0.000285     0.000266 
   1995      5-9     0.000119     0.000160     0.000140 
   1995     10-14    0.000140     0.000208     0.000175 
   1995     15-19    0.000266     0.000641     0.000456 
   1995     20-24    0.000304     0.000917     0.000613 
   1995     25-29    0.000379     0.000964     0.000670 
   1995     30-34    0.000552     0.001126     0.000837 
   1995     35-39    0.000798     0.001394     0.001094 
   1995     40-44    0.001355     0.002100     0.001725 
   1995     45-49    0.002165     0.003245     0.002703 
   1995     50-54    0.003558     0.005455     0.004502 
   1995     55-59    0.005646     0.009358     0.007484 
   1995     60-64    0.009421     0.016247     0.012745 
   1995     65-69    0.016270     0.028109     0.021813 
   1995     70-74    0.027269     0.046349     0.035641 
   1995     75-79    0.043840     0.072985     0.055444 
   1995     80-84    0.075251     0.117640     0.089832 
   1995     85-89    0.126932     0.180459     0.141802 
   1995     90-94    0.212543     0.279504     0.226393 
   1995     95-99    0.329903     0.406007     0.340724 
   1995    100-104   0.471264     0.536695     0.477847 
   1995    105-109   0.642552     0.795632     0.654580 
   1995    110+      0.303388            .     0.303388 
   1996        0     0.005386     0.006876     0.006150 
   1996      1-4     0.000241     0.000316     0.000280 
   1996      5-9     0.000113     0.000135     0.000124 
   1996     10-14    0.000125     0.000187     0.000157 
   1996     15-19    0.000287     0.000625     0.000458 
   1996     20-24    0.000316     0.000896     0.000608 
   1996     25-29    0.000393     0.000965     0.000678 
   1996     30-34    0.000538     0.001126     0.000829 
   1996     35-39    0.000828     0.001397     0.001110 
   1996     40-44    0.001299     0.002069     0.001682 
   1996     45-49    0.002110     0.003269     0.002687 
   1996     50-54    0.003422     0.005292     0.004352 
   1996     55-59    0.005570     0.009186     0.007359 
   1996     60-64    0.009064     0.015684     0.012296 
   1996     65-69    0.015708     0.026749     0.020890 
   1996     70-74    0.026488     0.044949     0.034642 
   1996     75-79    0.042626     0.069299     0.053342 
   1996     80-84    0.074467     0.114347     0.088271 
   1996     85-89    0.125215     0.177720     0.139991 
   1996     90-94    0.207379     0.270919     0.220702 
   1996     95-99    0.319779     0.405965     0.332221 
   1996    100-104   0.471828     0.624605     0.486856 
   1996    105-109   0.591816     1.116585     0.621183 
   1996    110+      0.688765            .     0.688765 
   1997        0     0.005269     0.006431     0.005865 
   1997      1-4     0.000231     0.000300     0.000267 
   1997      5-9     0.000113     0.000151     0.000133 
   1997     10-14    0.000132     0.000191     0.000162 
   1997     15-19    0.000278     0.000618     0.000450 
   1997     20-24    0.000321     0.000947     0.000636 
   1997     25-29    0.000351     0.000959     0.000654 
   1997     30-34    0.000504     0.001075     0.000787 
   1997     35-39    0.000843     0.001300     0.001070 
   1997     40-44    0.001298     0.002051     0.001672 
   1997     45-49    0.002078     0.003148     0.002610 
   1997     50-54    0.003381     0.005167     0.004269 
   1997     55-59    0.005388     0.008947     0.007148 
   1997     60-64    0.008913     0.014834     0.011808 
   1997     65-69    0.015216     0.025766     0.020183 
   1997     70-74    0.026057     0.043342     0.033743 
   1997     75-79    0.041954     0.067478     0.052280 
   1997     80-84    0.073622     0.111935     0.086963 
   1997     85-89    0.124667     0.174545     0.138901 
   1997     90-94    0.207343     0.268209     0.220335 
   1997     95-99    0.319940     0.393122     0.330621 
   1997    100-104   0.475391     0.564893     0.484005 
   1997    105-109   0.603524     0.605144     0.603597 
   1997    110+      0.517063            .     0.517063 
   1998        0     0.005018     0.006340     0.005696 
   1998      1-4     0.000243     0.000308     0.000277 
   1998      5-9     0.000113     0.000143     0.000128 
   1998     10-14    0.000117     0.000178     0.000148 
   1998     15-19    0.000274     0.000580     0.000429 
   1998     20-24    0.000326     0.000877     0.000603 
   1998     25-29    0.000373     0.000997     0.000684 
   1998     30-34    0.000497     0.001108     0.000800 
   1998     35-39    0.000781     0.001362     0.001069 
   1998     40-44    0.001304     0.002035     0.001667 
   1998     45-49    0.002063     0.003165     0.002610 
   1998     50-54    0.003315     0.005094     0.004199 
   1998     55-59    0.005354     0.008779     0.007047 
   1998     60-64    0.008669     0.014714     0.011629 
   1998     65-69    0.014876     0.024990     0.019654 
   1998     70-74    0.025816     0.042464     0.033263 
   1998     75-79    0.041830     0.067407     0.052236 
   1998     80-84    0.073598     0.110656     0.086588 
   1998     85-89    0.123486     0.172347     0.137621 
   1998     90-94    0.207831     0.267224     0.220753 
   1998     95-99    0.322706     0.382263     0.331608 
   1998    100-104   0.485563     0.561338     0.492898 
   1998    105-109   0.818968     0.493061     0.798320 
   1998    110+      0.538020            .     0.538020 
   1999        0     0.005052     0.006447     0.005767 
   1999      1-4     0.000239     0.000307     0.000274 
   1999      5-9     0.000104     0.000130     0.000117 
   1999     10-14    0.000129     0.000163     0.000146 
   1999     15-19    0.000265     0.000590     0.000430 
   1999     20-24    0.000319     0.000891     0.000606 
   1999     25-29    0.000360     0.000964     0.000660 
   1999     30-34    0.000501     0.001097     0.000797 
   1999     35-39    0.000773     0.001371     0.001069 
   1999     40-44    0.001305     0.001971     0.001636 
   1999     45-49    0.002098     0.003124     0.002607 
   1999     50-54    0.003232     0.005080     0.004150 
   1999     55-59    0.005231     0.008617     0.006906 
   1999     60-64    0.008662     0.014133     0.011342 
   1999     65-69    0.014338     0.024388     0.019105 
   1999     70-74    0.025248     0.041350     0.032485 
   1999     75-79    0.043032     0.068167     0.053315 
   1999     80-84    0.072956     0.108797     0.085653 
   1999     85-89    0.125255     0.172960     0.139225 
   1999     90-94    0.212249     0.267767     0.224564 
   1999     95-99    0.331655     0.401693     0.342438 
   1999    100-104   0.492266     0.551835     0.498068 
   1999    105-109   0.656403     0.834879     0.670502 
   1999    110+      1.171113            .     1.171113 
   2000        0     0.005013     0.006056     0.005547 
   2000      1-4     0.000198     0.000259     0.000229 
   2000      5-9     0.000096     0.000130     0.000113 
   2000     10-14    0.000108     0.000165     0.000137 
   2000     15-19    0.000251     0.000562     0.000409 
   2000     20-24    0.000305     0.000847     0.000576 
   2000     25-29    0.000369     0.000970     0.000668 
   2000     30-34    0.000523     0.001072     0.000795 
   2000     35-39    0.000791     0.001395     0.001090 
   2000     40-44    0.001302     0.001934     0.001616 
   2000     45-49    0.002046     0.003100     0.002569 
