year,LungCancer,Poisonings,Suicides,ChronicLiverDiseases,Diabetes
1999,31.5,6.7,16,15.8,10.5
2000,32,7.2,16.7,16.2,10.7
2001,31.3,8.3,17.8,16.9,11.2
2002,31.2,11.4,18.8,16.8,11.3
2003,31,13.4,19.1,17.5,11.3
2004,31,15.1,19.9,17.4,11.3
2005,31.1,17,20,17.2,11.1
2006,30.5,19.7,21.1,17.7,11
2007,30.1,22.1,21.8,18.5,11.1
2008,30.5,23.9,23.2,18.6,11
2009,30.6,24.2,23.9,19.1,11.2
2010,29.3,24.7,24.7,19.8,10.8
2011,28.7,27,25.4,20.5,11.8
2012,27.8,27,25.7,21.1,11.2
2013,27.2,28.4,25.5,21.1,11.8
2014,25.8,29.9,26.3,21.2,12.4
2015,23.9,31.8,26.6,21.9,12.8
