year,age,mechanism,deaths,population,rate
1999,5-14 years,Fall,2,40819824,Unreliable
1999,5-14 years,Firearm,103,40819824,0.3
1999,5-14 years,Poisoning,6,40819824,Unreliable
1999,5-14 years,Suffocation,127,40819824,0.3
1999,15-24 years,Cut/Pierce,16,38676031,Unreliable
1999,15-24 years,Drowning,31,38676031,0.1
1999,15-24 years,Fall,112,38676031,0.3
1999,15-24 years,Fire/Flame,18,38676031,Unreliable
1999,15-24 years,Firearm,2315,38676031,6
1999,15-24 years,Poisoning,328,38676031,0.8
1999,15-24 years,Suffocation,966,38676031,2.5
1999,25-34 years,Cut/Pierce,58,40178406,0.1
1999,25-34 years,Drowning,36,40178406,0.1
1999,25-34 years,Fall,115,40178406,0.3
1999,25-34 years,Fire/Flame,30,40178406,0.1
1999,25-34 years,Firearm,2621,40178406,6.5
1999,25-34 years,Poisoning,785,40178406,2
1999,25-34 years,Struck by or against,2,40178406,Unreliable
1999,25-34 years,Suffocation,1323,40178406,3.3
1999,35-44 years,Cut/Pierce,90,45076677,0.2
1999,35-44 years,Drowning,82,45076677,0.2
1999,35-44 years,Fall,173,45076677,0.4
1999,35-44 years,Fire/Flame,42,45076677,0.1
1999,35-44 years,Firearm,3097,45076677,6.9
1999,35-44 years,Poisoning,1456,45076677,3.2
1999,35-44 years,Suffocation,1352,45076677,3
1999,45-54 years,Cut/Pierce,115,36577819,0.3
1999,45-54 years,Drowning,50,36577819,0.1
1999,45-54 years,Fall,115,36577819,0.3
1999,45-54 years,Fire/Flame,41,36577819,0.1
1999,45-54 years,Firearm,2677,36577819,7.3
1999,45-54 years,Poisoning,1235,36577819,3.4
1999,45-54 years,Suffocation,732,36577819,2
1999,55-64 years,Cut/Pierce,51,23778026,0.2
1999,55-64 years,Drowning,26,23778026,0.1
1999,55-64 years,Fall,49,23778026,0.2
1999,55-64 years,Fire/Flame,19,23778026,Unreliable
1999,55-64 years,Firearm,1860,23778026,7.8
1999,55-64 years,Poisoning,511,23778026,2.1
1999,55-64 years,Suffocation,328,23778026,1.4
1999,65-74 years,Cut/Pierce,36,18418909,0.2
1999,65-74 years,Drowning,34,18418909,0.2
1999,65-74 years,Fall,52,18418909,0.3
1999,65-74 years,Fire/Flame,12,18418909,Unreliable
1999,65-74 years,Firearm,1791,18418909,9.7
1999,65-74 years,Poisoning,252,18418909,1.4
1999,65-74 years,Suffocation,249,18418909,1.4
1999,75-84 years,Cut/Pierce,26,12224914,0.2
1999,75-84 years,Drowning,28,12224914,0.2
1999,75-84 years,Fall,51,12224914,0.4
1999,75-84 years,Fire/Flame,3,12224914,Unreliable
1999,75-84 years,Firearm,1606,12224914,13.1
1999,75-84 years,Poisoning,235,12224914,1.9
1999,75-84 years,Suffocation,228,12224914,1.9
1999,85+ years,Cut/Pierce,12,4154018,Unreliable
1999,85+ years,Drowning,21,4154018,0.5
1999,85+ years,Fall,22,4154018,0.5
1999,85+ years,Fire/Flame,6,4154018,Unreliable
1999,85+ years,Firearm,524,4154018,12.6
1999,85+ years,Poisoning,84,4154018,2
1999,85+ years,Struck by or against,1,4154018,Unreliable
1999,85+ years,Suffocation,118,4154018,2.8
2000,5-14 years,Drowning,1,41077577,Unreliable
2000,5-14 years,Fall,2,41077577,Unreliable
2000,5-14 years,Fire/Flame,1,41077577,Unreliable
2000,5-14 years,Firearm,110,41077577,0.3
2000,5-14 years,Poisoning,15,41077577,Unreliable
2000,5-14 years,Suffocation,175,41077577,0.4
2000,15-24 years,Cut/Pierce,17,39183891,Unreliable
2000,15-24 years,Drowning,28,39183891,0.1
2000,15-24 years,Fall,108,39183891,0.3
2000,15-24 years,Fire/Flame,17,39183891,Unreliable
2000,15-24 years,Firearm,2267,39183891,5.8
2000,15-24 years,Poisoning,304,39183891,0.8
2000,15-24 years,Struck by or against,1,39183891,Unreliable
2000,15-24 years,Suffocation,1134,39183891,2.9
2000,25-34 years,Cut/Pierce,41,39891724,0.1
2000,25-34 years,Drowning,43,39891724,0.1
2000,25-34 years,Fall,106,39891724,0.3
2000,25-34 years,Fire/Flame,37,39891724,0.1
2000,25-34 years,Firearm,2453,39891724,6.1
2000,25-34 years,Poisoning,746,39891724,1.9
2000,25-34 years,Suffocation,1252,39891724,3.1
2000,35-44 years,Cut/Pierce,115,45148527,0.3
2000,35-44 years,Drowning,65,45148527,0.1
2000,35-44 years,Fall,123,45148527,0.3
2000,35-44 years,Fire/Flame,38,45148527,0.1
2000,35-44 years,Firearm,3191,45148527,7.1
2000,35-44 years,Poisoning,1465,45148527,3.2
2000,35-44 years,Suffocation,1381,45148527,3.1
2000,45-54 years,Cut/Pierce,91,37677952,0.2
2000,45-54 years,Drowning,54,37677952,0.1
2000,45-54 years,Fall,116,37677952,0.3
2000,45-54 years,Fire/Flame,34,37677952,0.1
2000,45-54 years,Firearm,2858,37677952,7.6
2000,45-54 years,Poisoning,1303,37677952,3.5
2000,45-54 years,Suffocation,843,37677952,2.2
2000,55-64 years,Cut/Pierce,51,24274684,0.2
2000,55-64 years,Drowning,38,24274684,0.2
2000,55-64 years,Fall,50,24274684,0.2
2000,55-64 years,Fire/Flame,18,24274684,Unreliable
2000,55-64 years,Firearm,1833,24274684,7.6
2000,55-64 years,Poisoning,531,24274684,2.2
2000,55-64 years,Suffocation,343,24274684,1.4
2000,65-74 years,Cut/Pierce,23,18390986,0.1
2000,65-74 years,Drowning,38,18390986,0.2
2000,65-74 years,Fall,35,18390986,0.2
2000,65-74 years,Fire/Flame,10,18390986,Unreliable
2000,65-74 years,Firearm,1700,18390986,9.2
2000,65-74 years,Poisoning,229,18390986,1.2
2000,65-74 years,Struck by or against,1,18390986,Unreliable
2000,65-74 years,Suffocation,211,18390986,1.1
