County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,suicideRate
"Baldwin County, AL",1003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,45,203709,22.1
"Blount County, AL",1009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,57673, 
"Calhoun County, AL",1015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,115620,20.8
"Chilton County, AL",1021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,43943, 
"Cullman County, AL",1043,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,82005, 
"DeKalb County, AL",1049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,71130, 
"Elmore County, AL",1051,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,81468, 
"Etowah County, AL",1055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,103057, 
"Houston County, AL",1069,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,104173,20.2
"Jackson County, AL",1071,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,52419, 
"Jefferson County, AL",1073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,97,660367,14.7
"Lauderdale County, AL",1077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,92596, 
"Lee County, AL",1081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,156993, 
"Limestone County, AL",1083,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,91663, 
"Madison County, AL",1089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,59,353089,16.7
"Marshall County, AL",1095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,94725, 
"Mobile County, AL",1097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,66,415395,15.9
"Montgomery County, AL",1101,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,226519,11.5
"Morgan County, AL",1103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,119565, 
"Russell County, AL",1113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,59660, 
"St. Clair County, AL",1115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,87074, 
"Shelby County, AL",1117,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,208713,15.8
"Talladega County, AL",1121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,80862,24.7
"Tuscaloosa County, AL",1125,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,203976, 
"Walker County, AL",1127,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,65294, 
"Anchorage Borough, AK",2020,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,79,298695,26.4
"Fairbanks North Star Borough, AK",2090,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,99631, 
"Kenai Peninsula Borough, AK",2122,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,58059, 
"Matanuska-Susitna Borough, AK",2170,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,101095, 
"Wade Hampton Census Area, AK",2270,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,8119, 
"Apache County, AZ",4001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,71474, 
"Cochise County, AZ",4003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,27,126427,21.4
"Coconino County, AZ",4005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,139097,23.7
"Gila County, AZ",4007,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,53159, 
"Maricopa County, AZ",4013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,673,4167947,16.1
"Mohave County, AZ",4015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,74,204737,36.1
"Navajo County, AZ",4017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,108277,26.8
"Pima County, AZ",4019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,202,1010025,20
"Pinal County, AZ",4021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,71,406584,17.5
"Yavapai County, AZ",4025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,79,222255,35.5
"Yuma County, AZ",4027,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,204275,16.6
"Baxter County, AR",5005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,41053, 
"Benton County, AR",5007,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,49,249672,19.6
"Conway County, AR",5029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,21019, 
"Craighead County, AR",5031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,104354, 
"Crawford County, AR",5033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,61703, 
"Faulkner County, AR",5045,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,121552,16.5
"Garland County, AR",5051,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,36,97177,37
"Greene County, AR",5055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,44196, 
"Hot Spring County, AR",5059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,33426, 
"Jefferson County, AR",5069,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,71565, 
"Lonoke County, AR",5085,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,71645,27.9
"Pope County, AR",5115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,63390, 
"Pulaski County, AR",5119,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,56,392664,14.3
"Saline County, AR",5125,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,22,117460,18.7
"Sebastian County, AR",5131,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,127780,18.8
"Washington County, AR",5143,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,35,225477,15.5
"White County, AR",5145,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,79161, 
"Alameda County, CA",6001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,148,1638215,9
"Butte County, CA",6007,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,40,225411,17.7
"Calaveras County, CA",6009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,22,44828,49.1
"Contra Costa County, CA",6013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,110,1126745,9.8
"El Dorado County, CA",6017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,32,184452,17.3
"Fresno County, CA",6019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,101,974861,10.4
"Glenn County, CA",6021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,28017, 
"Humboldt County, CA",6023,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,41,135727,30.2
"Imperial County, CA",6025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,180191, 
"Kern County, CA",6029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,118,882176,13.4
"Kings County, CA",6031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,150965, 
"Lake County, CA",6033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,64591,37.2
"Los Angeles County, CA",6037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,823,10170292,8.1
"Madera County, CA",6039,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,154998, 
"Marin County, CA",6041,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,31,261221,11.9
"Mendocino County, CA",6045,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,87649, 
"Merced County, CA",6047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,37,268455,13.8
"Monterey County, CA",6053,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,52,433898,12
"Napa County, CA",6055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,142456, 
"Nevada County, CA",6057,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,98877,26.3
"Orange County, CA",6059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,293,3169776,9.2
"Placer County, CA",6061,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,46,375391,12.3
"Riverside County, CA",6065,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,257,2361026,10.9
"Sacramento County, CA",6067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,195,1501335,13
"San Bernardino County, CA",6071,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,214,2128133,10.1
"San Diego County, CA",6073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,411,3299521,12.5
"San Francisco County, CA",6075,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,98,864816,11.3
"San Joaquin County, CA",6077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,68,726106,9.4
"San Luis Obispo County, CA",6079,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,49,281401,17.4
"San Mateo County, CA",6081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,57,765135,7.4
"Santa Barbara County, CA",6083,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,69,444769,15.5
"Santa Clara County, CA",6085,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,156,1918044,8.1
"Santa Cruz County, CA",6087,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,45,274146,16.4
"Shasta County, CA",6089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,45,179533,25.1
"Siskiyou County, CA",6093,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,43554, 
"Solano County, CA",6095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,58,436092,13.3
"Sonoma County, CA",6097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,66,502146,13.1
"Stanislaus County, CA",6099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,49,538388,9.1
"Sutter County, CA",6101,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,96463, 
"Tulare County, CA",6107,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,54,459863,11.7
"Tuolumne County, CA",6109,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,53709, 
"Ventura County, CA",6111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,109,850536,12.8
"Yolo County, CA",6113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,213016,12.2
"Yuba County, CA",6115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,74492, 
"Adams County, CO",8001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,86,491337,17.5
"Arapahoe County, CO",8005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,106,631096,16.8
"Boulder County, CO",8013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,59,319372,18.5
"Broomfield County, CO",8014,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,65065, 
