State,State Code,suicideRate
Alabama,1,15.4
Alaska,2,27.2
Arizona,4,18.7
Arkansas,5,19.4
California,6,10.6
Colorado,8,20
Connecticut,9,10.7
Delaware,10,12.9
District of Columbia,11,5.1
Florida,12,15.8
Georgia,13,12.9
Hawaii,15,14
Idaho,16,21.7
Illinois,17,10.6
Indiana,18,14.5
Iowa,19,13.9
Kansas,20,16.4
Kentucky,21,17.5
Louisiana,22,15.5
Maine,23,17.7
Maryland,24,9.2
Massachusetts,25,9.4
Michigan,26,14.2
Minnesota,27,13.3
Mississippi,28,14.4
Missouri,29,17.3
Montana,30,26.3
Nebraska,31,11.8
Nevada,32,19.3
New Hampshire,33,17.1
New Jersey,34,8.8
New Mexico,35,24
New York,36,8.3
North Carolina,37,14
North Dakota,38,16.4
Ohio,39,14.2
Oklahoma,40,20.2
Oregon,41,18.9
Pennsylvania,42,14.8
Rhode Island,44,12
South Carolina,45,15.2
South Dakota,46,20.2
Tennessee,47,16.2
Texas,48,12.4
Utah,49,21
Vermont,50,16.5
Virginia,51,13.3
Washington,53,15.9
West Virginia,54,18.4
Wisconsin,55,15.2
Wyoming,56,26.8
